Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
53.5,132.1,35.3,0,35160,19664,44,66,539,5647689,4727,5799
53.8,128,40.3,0,39417,20284,32,66,368,5650224,4727,5799
52.7,134.7,39.2,0,35723,24299,47,65,480,5653031,4727,5799
52.7,134.4,40,0,37437,25694,43,67,472,5656147,4727,5799
154.1,108.4,2.6,3.8,37524,10405,26,67,505,5660827,4738,5812
26.6,105.9,2.8,34.7,43312,11756,24,67,749,5664024,4738,5812
62.4,111.4,2,12.9,35908,10127,46,66,522,5665576,4738,5812
22.5,105.6,2.7,37.1,41096,10881,24,66,650,5668685,4738,5812
32.5,103.3,4.8,27.2,55846,15217,14,66,334,5670297,4738,5812
22.3,110.7,3.4,41.6,39853,18290,28,66,386,5672086,4738,5812
32.4,116.9,2.7,27.7,28474,23091,52,66,624,5678430,4738,5812
53.7,116.1,6.5,0,27557,19957,43,67,485,5680510,4746,5822
13.2,117.6,2.7,73,24890,15602,47,65,770,5682657,4746,5822
219.7,136.2,11.1,1.7,17971,2912,100,89,2775,5684240,4761,5848
53.2,128.3,42.6,0,52205,3264,14,83,895,5685582,4761,5848
53.2,131.5,46.3,0,44308,3857,13,66,356,5687041,4761,5848
52.7,132,45.8,0,43684,3966,14,65,263,5688551,4761,5848
27.5,103.6,3.3,33.3,32926,13955,27,66,386,5691965,4761,5848
115.8,111.5,2.4,5.5,39097,20611,33,67,510,5697705,4761,5848
27.1,114.3,3.1,34,29980,21460,39,67,521,5704293,4761,5848
27,112.6,3.1,34.2,37379,21266,35,66,617,5706547,4761,5848
74.1,114.1,2.9,10.6,34425,18914,31,66,573,5708585,4761,5848
33.5,117.7,2.7,24.9,25003,21330,46,67,562,5712757,4761,5848
