Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
23,88.7,2.4,40.3,93513,28865,17,60,342,2804988,1563,1759
23.6,88.8,2.7,38.7,91709,20935,12,60,370,2811022,1563,1759
12,101.7,2.4,80.2,114163,12624,27,72,1350,2815747,1587,1783
33.6,104.3,2.4,26.8,74438,18542,14,60,291,2819340,1587,1783
29.3,88.3,2.9,30.7,88713,21278,13,60,284,2823543,1587,1783
37.3,100.2,2.4,24.1,37971,19391,44,60,618,2828123,1618,1816
27.1,93.2,2.5,33.9,56413,16551,23,59,444,2832890,1618,1816
36.3,96.4,2.6,24.6,59462,28624,33,60,501,2837606,1618,1816
26.2,84.8,2.2,35.3,74118,22474,15,59,296,2842221,1618,1816
27.3,89,2.2,33.8,91166,31058,18,61,378,2847883,1618,1816
25.8,89,2.5,35.4,70889,15998,13,62,574,2853218,1618,1816
28.6,92.6,1.9,31.5,62491,18249,16,59,333,2857190,1618,1816
35.3,89,2.2,25.5,79764,24645,17,59,281,2861869,1618,1816
195.5,108.9,2.3,2.3,60702,22028,24,59,307,2866378,1665,1867
31.4,89.8,2.3,29,74416,21352,15,60,351,2870859,1665,1867
121,116.2,2.4,5.3,43510,28139,42,60,427,2875557,1665,1867
40.6,95.1,2.2,21.9,65037,32717,28,60,446,2880845,1665,1867
50.9,94.6,2.5,16.7,74699,25571,25,60,379,2886750,1665,1867
25.5,89.4,2.5,35.9,92123,23741,13,62,559,2891926,2102,2334
41.6,124.8,2.4,21.3,66934,20531,19,61,357,2896832,2102,2334
32.7,88,2.1,27.7,91238,24098,15,59,316,2905317,2116,2349
30.5,89,2.5,29.4,85928,22292,14,60,324,2910564,2116,2349
28.6,88.8,2.3,31.6,80666,21746,13,61,361,2915802,2116,2349
23.5,118.8,2.5,39.7,67665,23712,20,60,395,2920786,2116,2349
121.3,125.1,2.9,5.2,70586,22024,17,60,383,2925528,2116,2349
39.9,101.8,2.4,21.8,67448,34369,38,60,432,2930678,2116,2349
30,126.9,2.8,30.6,74737,25056,20,61,675,2936086,2116,2349
36.1,103.5,2.6,21.3,74878,27353,21,61,347,2940189,2116,2349
32.2,88.1,2.5,28.1,82249,29648,17,59,277,2945825,2116,2349
24.8,103.1,3.1,34.7,76533,32940,23,59,284,2951879,2116,2349
35.8,91.5,2.6,25.3,107745,34925,17,60,278,2957674,2116,2349
40.3,91.1,3.3,22,112249,30588,16,60,276,2963620,2116,2349
357,122.3,2.4,0,35289,5800,59,82,2124,2968190,2193,2432
24.4,84.8,2.7,38,92684,4192,3,60,318,2969982,2193,2432
116.2,98.2,2.3,5.4,57025,7143,11,60,187,2971764,2193,2432
22.4,86.3,2.6,41.8,62505,8480,7,59,260,2973705,2193,2432
34.5,114.2,2.8,22.5,48067,18153,40,60,554,2976595,2193,2432
31.6,88,2.4,26.7,75040,18505,15,60,330,2979961,2193,2432
31,89.5,2.6,29.3,72190,20265,14,59,328,2984122,2193,2432
30.9,93,2.7,29.5,79990,26814,19,60,271,2989186,2193,2432
26.5,89.9,2.7,34.4,92642,26726,14,60,292,2995017,2193,2432
24.2,90.1,2.2,38.1,84505,31651,19,61,274,3000993,2193,2432
147.6,127.6,2.7,3.6,56256,25630,26,60,423,3006625,2193,2432
33.9,118.4,3.2,26.7,58943,16388,50,79,1413,3011694,2223,2465
14.8,130,2.5,58.3,20772,9683,67,74,1958,3015057,2223,2465
27.4,87.9,2.5,33.3,80270,11172,8,64,739,3017641,2223,2465
158.6,109.4,1.8,3.5,87999,15462,10,60,212,3020257,2223,2465
13.6,112.6,2,68,59868,14467,11,59,301,3022784,2223,2465
234.4,105.9,2.5,1.3,70285,19956,17,59,264,3026097,2223,2465
28.6,108.7,2.4,32,61904,27938,29,59,413,3030812,2223,2465
12.2,117.5,2,71.7,75522,23976,19,60,329,3040823,2223,2465
12.6,118.6,2.1,76.4,69227,21551,23,61,318,3045539,2223,2465
94.9,122,2.7,7.3,93645,28815,20,60,371,3050069,2223,2465
83.3,121.3,3.2,9.1,23996,20247,48,62,736,3054728,2223,2465
75.3,116.4,2.6,9.8,30283,12505,39,62,636,3059076,2223,2465
29.1,86.1,2.5,31.7,51890,8609,9,60,346,3061704,2223,2465
32.3,89.8,2.3,28.1,71056,18367,15,60,327,3064601,2223,2465
15,113.1,2.5,62.5,112574,11654,53,74,1506,3068092,2223,2465
29.5,89.3,2.1,30.8,76195,8489,6,69,797,3070117,2223,2465
98.8,103.3,2.3,6.9,82269,11272,15,59,304,3072153,2223,2465
14.8,113.4,2.6,63.6,54506,15308,16,59,301,3074765,2223,2465
119.1,124.3,2.5,5.4,51771,15869,19,60,402,3077791,2223,2465
31.6,88.4,2.2,28.9,98750,22806,12,60,305,3081748,2223,2465
14.4,120.8,2.8,60.8,54738,23097,25,59,437,3086492,2223,2465
106.2,111.3,2.4,6.6,81832,33777,23,65,279,3092030,2223,2465
36.8,97.7,2.2,24.4,72977,36376,29,65,366,3097988,2223,2465
28.7,99,2.2,32.2,66403,35532,30,66,392,3103932,2223,2465
26.3,95.2,2.4,35.3,76046,28167,21,64,362,3109436,2223,2465
151.7,128.6,2,3.9,28947,16057,81,77,1436,3113767,2223,2465
14.8,119,2.6,64.5,51239,12476,14,65,444,3116481,2223,2465
36.1,96.9,2.2,24.5,61761,21066,18,64,305,3119425,2223,2465
29.6,92.9,2.2,30.2,90626,19254,9,64,242,3122971,2223,2465
94.5,89.8,2.1,7.5,66061,17659,26,65,373,3127948,2223,2465
39,97,2.4,22.7,66333,20252,28,66,529,3133626,2278,2523
134.5,121.8,1.9,4.6,57082,11955,23,66,419,3138559,2278,2523
22.8,103.3,2.4,38.7,64948,21247,25,65,412,3142664,2278,2523
96.9,125.7,3.5,7.5,58154,19007,24,65,426,3146660,2278,2523
47.3,99,2.3,18.4,72149,37337,28,65,385,3156100,2278,2523
189.3,122,2.6,2.6,79360,28459,24,65,474,3160774,2278,2523
78.8,126.9,2,9.7,75734,24489,17,64,412,3165717,2278,2523
39.4,100.4,2.2,22.4,65031,35030,31,65,361,3170747,2278,2523
15.4,158.4,2.1,57.5,15019,25319,100,67,1150,3176703,2278,2523
31.7,98.7,2.2,28.5,61766,14553,15,77,919,3179496,2278,2523
37.2,94.7,2.4,24.1,78707,17707,13,65,345,3182201,2278,2523
35.9,91.1,2.2,25,79001,8026,11,65,223,3185518,2310,2559
30.6,92,2,29.9,91031,9792,11,65,217,3188851,2310,2559
31,92.1,2.4,29.5,92065,13467,9,65,246,3192135,2310,2559
36.5,94.5,2.2,24.6,84495,19667,12,65,225,3195495,2310,2559
19.7,99.9,2.5,47.9,85709,25513,16,66,292,3199796,2310,2559
22.8,110.8,2.3,41,77670,29888,22,65,353,3204582,2310,2559
72.5,112.5,2,11.1,45744,38207,49,66,628,3210176,2310,2559
158.6,126.7,2.7,3.4,64312,22421,23,65,394,3215057,2310,2559
38.7,97.6,2.3,20.2,81882,32239,22,64,345,3220090,2310,2559
30.7,94.8,2.4,29.9,85409,23200,19,65,305,3230914,2338,2598
41.1,121.4,4.4,5.4,38074,15405,54,74,1397,3239414,2338,2598
22.7,114.6,3.8,33.2,37348,14567,28,74,579,3241910,2338,2598
49,103,3.7,9.5,93400,17264,11,65,221,3244448,2338,2598
30.5,94.7,2.2,30,81943,18649,12,65,349,3247757,2338,2598
29.1,94,1.9,31.1,78393,30246,19,65,379,3252138,2338,2598
23.5,111.2,2.4,39.8,49455,35826,40,65,464,3257487,2338,2598
161.9,106.4,2.8,3.1,82437,26780,23,65,385,3262649,2340,2603
27.9,90.4,2.1,33,93897,21279,12,66,318,3267773,2340,2603
27.9,94.2,2.2,32.6,95949,32412,17,66,305,3273632,2340,2603
31.9,95.3,2.5,28.3,74631,28485,18,65,361,3279588,2340,2603
4.7,97.3,2.3,210.2,78698,27547,22,65,418,3285564,2352,2618
29.6,94.3,2.2,30.5,93547,19975,14,66,307,3291253,2352,2618
37.4,95.5,2.2,24,90510,14145,14,66,278,3295752,2362,2630
31.1,94.8,2.1,29.2,77798,21941,18,65,354,3300909,2362,2630
22.9,94.6,2.5,40.3,81771,22547,13,65,275,3306173,2362,2630
39.2,103.6,2.4,22.6,55366,31095,38,65,469,3311557,2362,2630
243,143.4,2.1,1.5,15371,7345,100,78,2250,3315615,2362,2630
65.7,149.2,3.1,10.9,31390,6939,76,78,2861,3317598,2362,2630
49.7,137.7,54.7,0,49694,9841,15,66,583,3319329,2362,2630
51,135.7,53.6,0,89814,20394,13,65,185,3321620,2362,2630
22.8,103.6,1.9,40.5,62733,19716,18,65,286,3324789,2362,2630
35.1,97.1,2.1,25.8,74141,21716,15,66,350,3329067,2362,2630
36.5,96.5,2.2,24.5,92646,29662,17,66,296,3333856,2362,2630
36.9,99.1,2.3,24.3,79922,34349,23,66,315,3339572,2362,2630
146.8,119.3,2.1,3.7,60338,33863,39,66,470,3345577,2362,2630
33.7,118.7,2.3,26,62753,34867,34,65,477,3351584,2362,2630
36.5,104.9,2.2,24.5,59205,33308,38,65,453,3357579,2362,2630
96,136.2,2.4,7.6,34825,11070,83,104,1498,3361912,2412,2682
37.3,95.1,2.2,24.1,70296,11333,13,71,408,3364727,2412,2682
192.9,112,2.5,2.4,52511,13199,16,65,290,3367549,2412,2682
21.9,100.7,1.9,42.4,82791,15487,14,65,299,3370628,2412,2682
14.4,124.1,2.1,65,51867,14963,18,65,411,3374007,2412,2682
31.4,98.2,2.2,28.6,74338,23283,16,65,344,3378190,2412,2682
34.6,103.8,2.1,25.8,55418,27742,29,65,367,3388249,2412,2682
18.9,99.8,2,50.1,70830,21562,28,66,607,3394019,2412,2682
